Category In English,User_Id,Mer_Name,Cluster
Grocery,1624,Saraswati Fabrics,1
Grocery,1628,Saraswati Fabrics,1
Grocery,1630,Saraswati Fabrics,1
Grocery,1635,Saraswati Fabrics,1
Grocery,1648,Saraswati Fabrics,1
Grocery,1655,Saraswati Fabrics,1
Grocery,1656,Saraswati Fabrics,1
Grocery,1659,Saraswati Fabrics,1
Grocery,1663,Saraswati Fabrics,1
Grocery,1667,Saraswati Fabrics,1
Grocery,1672,Saraswati Fabrics,1
Grocery,1680,Saraswati Fabrics,1
Grocery,1683,Saraswati Fabrics,1
Grocery,1685,Saraswati Fabrics,1
Grocery,1695,Saraswati Fabrics,1
Grocery,1697,Saraswati Fabrics,1
Grocery,1699,Saraswati Fabrics,1
Grocery,1701,Saraswati Fabrics,1
Grocery,1702,Saraswati Fabrics,1
Grocery,1702,Saraswati Fabrics,1
Grocery,1703,Saraswati Fabrics,1
Grocery,1704,Saraswati Fabrics,1
Grocery,1709,Saraswati Fabrics,1
Grocery,1714,Saraswati Fabrics,1
Grocery,1722,Saraswati Fabrics,1
Grocery,1723,Saraswati Fabrics,1
Grocery,1733,Saraswati Fabrics,1
Grocery,1735,Saraswati Fabrics,1
Grocery,1740,Saraswati Fabrics,1
Grocery,1742,Saraswati Fabrics,1
Grocery,1749,Saraswati Fabrics,1
Grocery,1757,Saraswati Fabrics,1
Grocery,1758,Saraswati Fabrics,1
Grocery,1762,Saraswati Fabrics,1
Grocery,1768,Saraswati Fabrics,1
Grocery,1771,Saraswati Fabrics,1
Grocery,1772,Saraswati Fabrics,1
Grocery,1773,Saraswati Fabrics,1
Grocery,1774,Saraswati Fabrics,4
Grocery,1776,Saraswati Fabrics,1
Grocery,1778,Saraswati Fabrics,1
Grocery,1781,Saraswati Fabrics,1
Grocery,1782,Saraswati Fabrics,1
Grocery,1787,Saraswati Fabrics,1
Grocery,1791,Saraswati Fabrics,1
Grocery,1795,Saraswati Fabrics,1
Grocery,1796,Saraswati Fabrics,1
Grocery,1798,Saraswati Fabrics,1
Grocery,1800,Saraswati Fabrics,1
Grocery,1807,Saraswati Fabrics,1
Grocery,1819,Saraswati Fabrics,1
Grocery,1822,Saraswati Fabrics,1
Grocery,1826,Saraswati Fabrics,1
Grocery,1829,Saraswati Fabrics,1
Grocery,1834,Saraswati Fabrics,1
Grocery,1839,Saraswati Fabrics,1
